### postgres_jobs

                job_id                |  job_type   |   state   | claimed_by  | attempt_count | submitted_by |         submitted_at          
--------------------------------------+-------------+-----------+-------------+---------------+--------------+-------------------------------
 8a192923-07b9-42ec-8941-b586478b6e87 | crypto_burn | completed | COE892-VM-2 |             1 | COE892-VM-2  | 2026-03-17 01:14:36.39767+00
 9ca22b25-df38-47ff-8cd6-2e32221decd1 | crypto_burn | completed | COE892-VM-3 |             1 | COE892-VM-3  | 2026-03-17 01:14:36.301771+00
 099dc791-2e9d-4f30-8ace-3b6c48146adb | crypto_burn | completed | COE892-VM-1 |             1 | COE892-VM-1  | 2026-03-17 01:14:36.206502+00
 ed3663be-d861-43c7-8570-fab42f13cc5d | crypto_burn | completed | COE892-VM-2 |             1 | COE892-VM-2  | 2026-03-17 01:14:36.113032+00
 f16c3490-1903-445c-80a5-dcd7ac62e624 | crypto_burn | completed | COE892-VM-3 |             1 | COE892-VM-3  | 2026-03-17 01:14:36.012716+00
 27c8614e-085c-413a-94c1-251f9b4cba33 | sleep       | completed | COE892-VM-1 |             1 | COE892-VM-1  | 2026-03-17 01:13:22.785387+00
 4ec8a4a5-fa51-4886-9e6e-625fd15fd79b | demo_write  | succeeded | COE892-VM-1 |             0 | COE892-VM-1  | 2026-03-06 05:02:54.894017+00
 90a66bd8-cbd9-41d7-a271-b27262e413ff | demo_write  | succeeded | COE892-VM-3 |             0 | COE892-VM-1  | 2026-03-06 05:02:54.680877+00
 8c49e266-782a-4b0b-b218-fa0e77334497 | demo_write  | succeeded | COE892-VM-2 |             0 | COE892-VM-1  | 2026-03-06 05:02:54.467365+00
 1d2905d6-a4de-49ae-9ef0-ca09ef508368 | demo_write  | succeeded | COE892-VM-1 |             0 | COE892-VM-1  | 2026-03-06 05:02:54.254454+00
 e349ed4a-1f8f-49d2-9a59-2106c03ff985 | demo_write  | succeeded | COE892-VM-3 |             0 | COE892-VM-1  | 2026-03-06 05:02:54.04+00
 2d6f36ad-84ed-41cb-9f6e-adf42b3fd213 | demo_write  | succeeded | COE892-VM-2 |             0 | COE892-VM-1  | 2026-03-06 05:02:53.823645+00
 0ebbe9c6-b3a1-443a-9be7-055a495380bf | demo_write  | succeeded | COE892-VM-1 |             0 | COE892-VM-1  | 2026-03-06 05:02:53.606593+00
 f8ac8de5-15b7-4bf7-8b34-896a8e32d9ca | demo_write  | succeeded | COE892-VM-3 |             0 | COE892-VM-1  | 2026-03-06 05:02:53.392285+00
 7a4e7611-aed1-4693-9171-bedb58f214d2 | demo_write  | succeeded | COE892-VM-2 |             0 | COE892-VM-1  | 2026-03-06 05:02:53.17802+00
 d65bf4fd-7e61-42cb-9777-5e42d35efe82 | demo_write  | succeeded | COE892-VM-1 |             0 | COE892-VM-1  | 2026-03-06 05:02:52.963181+00
 8ee9c81a-3108-4f84-9090-b391c83e1912 | demo_write  | succeeded | COE892-VM-3 |             0 | COE892-VM-1  | 2026-03-06 05:02:52.74694+00
 3b00cf5e-450d-4f54-9b39-947270c7f681 | demo_write  | succeeded | COE892-VM-2 |             0 | COE892-VM-1  | 2026-03-06 05:02:52.530392+00
 afe0024d-11f0-4bd8-b8ef-22953ed6ecdf | demo_write  | succeeded | COE892-VM-1 |             0 | COE892-VM-1  | 2026-03-06 05:02:52.31806+00
